===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                  
Initialize-Disk                                    Function Storage                                 
Initialize-PmemPhysicalDevice                        Cmdlet PersistentMemory                        
Initialize-Tpm                                       Cmdlet TrustedPlatformModule                   
Initialize-Volume                                     Alias Storage                                 
Initialize-Volume                                     Alias VMDirectStorage                         
InModuleScope                                      Function Pester                                  
Install-Dtc                                        Function MsDtc                                   
Install-Language                                     Cmdlet LanguagePackManagement                  
Install-Module                                     Function PowerShellGet                           
Install-Package                                      Cmdlet PackageManagement                       
Install-PackageProvider                              Cmdlet PackageManagement                       
Install-ProvisioningPackage                          Cmdlet Provisioning                            
Install-Script                                     Function PowerShellGet                           
Install-TrustedProvisioningCertificate               Cmdlet Provisioning                            
Install-WindowsUpdate                                 Alias PSWindowsUpdate                         
Invoke-ADLicense                                   Function OSLicense                               
Invoke-AsWorkflow                                  Function PSWorkflowUtility                       
Invoke-CimMethod                                     Cmdlet CimCmdlets                              
Invoke-Command                                       Cmdlet Microsoft.PowerShell.Core               
Invoke-CommandInDesktopPackage                       Cmdlet Appx                                    
Invoke-DscResource                                   Cmdlet PSDesiredStateConfiguration             
Invoke-Expression                                    Cmdlet Microsoft.PowerShell.Utility            
Invoke-History                                       Cmdlet Microsoft.PowerShell.Core               
Invoke-Item                                          Cmdlet Microsoft.PowerShell.Management         
Invoke-KmsLicense                                  Function OSLicense                               
Invoke-LapsPolicyProcessing                          Cmdlet LAPS                                    
Invoke-Mock                                        Function Pester                                  
Invoke-OperationValidation                         Function Microsoft.PowerShell.Operation.Valida...
Invoke-OSLicense                                   Function OSLicense                               
Invoke-Pester                                      Function Pester                                  
Invoke-RestMethod                                    Cmdlet Microsoft.PowerShell.Utility            
Invoke-SubscriptionLicense                         Function OSLicense                               
Invoke-TroubleshootingPack                           Cmdlet TroubleshootingPack                     
Invoke-WebRequest                                    Cmdlet Microsoft.PowerShell.Utility            
Invoke-WmiMethod                                     Cmdlet Microsoft.PowerShell.Management         
Invoke-WSManAction                                   Cmdlet Microsoft.WSMan.Management              
Invoke-WUJob                                         Cmdlet PSWindowsUpdate                         
It                                                 Function Pester                                  
J:                                                 Function                                         
Join-DtcDiagnosticResourceManager                    Cmdlet MsDtc                                   
Join-Path                                            Cmdlet Microsoft.PowerShell.Management         
K:                                                 Function                                         
L:                                                 Function                                         
Limit-EventLog                                       Cmdlet Microsoft.PowerShell.Management         
Lock-BitLocker                                     Function BitLocker                               
M:                                                 Function                                         
Measure-Command                                      Cmdlet Microsoft.PowerShell.Utility            
Measure-Object                                       Cmdlet Microsoft.PowerShell.Utility            
Merge-CIPolicy                                       Cmdlet ConfigCI                                
mkdir                                              Function                                         
Mock                                               Function Pester                                  
more                                               Function                                         
Mount-AppPackageVolume                                Alias Appx                                    
Mount-AppvClientConnectionGroup                      Cmdlet AppvClient                              
Mount-AppvClientPackage                              Cmdlet AppvClient                              
Mount-AppxVolume                                     Cmdlet Appx                                    
Mount-DiskImage                                    Function Storage                                 
Mount-MsixPackageVolume                               Alias Appx                                    
Mount-MsixVolume                                      Alias Appx                                    
Mount-WindowsImage                                   Cmdlet Dism                                    
Move-AppPackage                                       Alias Appx                                    
Move-AppxPackage                                     Cmdlet Appx                                    
Move-Item                                            Cmdlet Microsoft.PowerShell.Management         
Move-ItemProperty                                    Cmdlet Microsoft.PowerShell.Management         
Move-MsixPackage                                      Alias Appx                                    
Move-SmbClient                                        Alias SmbWitness                              
Move-SmbWitnessClient                              Function SmbWitness                              
N:                                                 Function                                         
New-Alias                                            Cmdlet Microsoft.PowerShell.Utility            
New-AppLockerPolicy                                  Cmdlet AppLocker                               
New-AutologgerConfig                               Function EventTracingManagement                  
New-BcdEntry                                         Cmdlet Microsoft.Windows.Bcd.Cmdlets           
New-BcdStore                                         Cmdlet Microsoft.Windows.Bcd.Cmdlets           
New-CertificateNotificationTask                      Cmdlet PKI                                     
New-CimInstance                                      Cmdlet CimCmdlets                              
New-CimSession                                       Cmdlet CimCmdlets                              
New-CimSessionOption                                 Cmdlet CimCmdlets                              
New-CIPolicy                                         Cmdlet ConfigCI                                
New-CIPolicyRule                                     Cmdlet ConfigCI                                
New-DAEntryPointTableItem                          Function DirectAccessClientComponents            
New-DscChecksum                                    Function PSDesiredStateConfiguration             
New-DtcDiagnosticTransaction                         Cmdlet MsDtc                                   
New-EapConfiguration                               Function VpnClient                               
New-EtwTraceSession                                Function EventTracingManagement                  
New-Event                                            Cmdlet Microsoft.PowerShell.Utility            
New-EventLog                                         Cmdlet Microsoft.PowerShell.Management         
New-FileCatalog                                      Cmdlet Microsoft.PowerShell.Security           
New-FileShare                                      Function Storage                                 
New-Fixture                                        Function Pester                                  
New-Guid                                           Function Microsoft.PowerShell.Utility            
New-IscsiTargetPortal                              Function iSCSI                                   
New-IseSnippet                                     Function ISE                                     
New-Item                                             Cmdlet Microsoft.PowerShell.Management         
New-ItemProperty                                     Cmdlet Microsoft.PowerShell.Management         
New-JobTrigger                                       Cmdlet PSScheduledJob                          
New-LocalGroup                                       Cmdlet Microsoft.PowerShell.LocalAccounts      
New-LocalUser                                        Cmdlet Microsoft.PowerShell.LocalAccounts      
New-MaskingSet                                     Function Storage                                 
New-Module                                           Cmdlet Microsoft.PowerShell.Core               
New-ModuleManifest                                   Cmdlet Microsoft.PowerShell.Core               
New-MpPerformanceRecording                         Function ConfigDefenderPerformance               
New-MpPerformanceRecording                         Function DefenderPerformance                     
New-NetAdapterAdvancedProperty                     Function NetAdapter                              
New-NetEventSession                                Function NetEventPacketCapture                   
New-NetFirewallDynamicKeywordAddress               Function NetSecurity                             
New-NetFirewallHyperVProfile                       Function NetSecurity                             
New-NetFirewallHyperVRule                          Function NetSecurity                             
New-NetFirewallHyperVVMSetting                     Function NetSecurity                             
New-NetFirewallRule                                Function NetSecurity                             
New-NetIPAddress                                   Function NetTCPIP                                
New-NetIPHttpsConfiguration                        Function NetworkTransition                       
New-NetIPsecAuthProposal                             Cmdlet NetSecurity                             
New-NetIPsecDospSetting                            Function NetSecurity                             
New-NetIPsecMainModeCryptoProposal                   Cmdlet NetSecurity                             
New-NetIPsecMainModeCryptoSet                      Function NetSecurity                             
New-NetIPsecMainModeRule                           Function NetSecurity                             
New-NetIPsecPhase1AuthSet                          Function NetSecurity                             
New-NetIPsecPhase2AuthSet                          Function NetSecurity                             
New-NetIPsecQuickModeCryptoProposal                  Cmdlet NetSecurity                             
New-NetIPsecQuickModeCryptoSet                     Function NetSecurity                             
New-NetIPsecRule                                   Function NetSecurity                             
New-NetLbfoTeam                                    Function NetLbfo                                 
New-NetNat                                         Function NetNat                                  
New-NetNatTransitionConfiguration                  Function NetworkTransition                       
New-NetNeighbor                                    Function NetTCPIP                                
New-NetQosPolicy                                   Function NetQos                                  
New-NetRoute                                       Function NetTCPIP                                
New-NetSwitchTeam                                  Function NetSwitchTeam                           
New-NetTransportFilter                             Function NetTCPIP                                
New-NetworkSwitchVlan                              Function NetworkSwitchManager                    
New-Object                                           Cmdlet Microsoft.PowerShell.Utility            
New-Partition                                      Function Storage                                 
New-PesterOption                                   Function Pester                                  
New-PmemDedicatedMemory                              Cmdlet PersistentMemory                        
New-PmemDisk                                         Cmdlet PersistentMemory                        
New-ProvisioningRepro                                Cmdlet Provisioning                            
New-PSDrive                                          Cmdlet Microsoft.PowerShell.Management         
New-PSRoleCapabilityFile                             Cmdlet Microsoft.PowerShell.Core               
New-PSSession                                        Cmdlet Microsoft.PowerShell.Core               
New-PSSessionConfigurationFile                       Cmdlet Microsoft.PowerShell.Core               
New-PSSessionOption                                  Cmdlet Microsoft.PowerShell.Core               
New-PSTransportOption                                Cmdlet Microsoft.PowerShell.Core               
New-PSWorkflowExecutionOption                        Cmdlet PSWorkflow                              
New-PSWorkflowSession                              Function PSWorkflow                              
New-ScheduledJobOption                               Cmdlet PSScheduledJob                          
New-ScheduledTask                                  Function ScheduledTasks                          
New-ScheduledTaskAction                            Function ScheduledTasks                          
New-ScheduledTaskPrincipal                         Function ScheduledTasks                          
New-ScheduledTaskSettingsSet                       Function ScheduledTasks                          
New-ScheduledTaskTrigger                           Function ScheduledTasks                          
New-ScriptFileInfo                                 Function PowerShellGet                           
New-SelfSignedCertificate                            Cmdlet PKI                                     
New-Service                                          Cmdlet Microsoft.PowerShell.Management         
New-SmbClientCertificateMapping                    Function SmbShare                                
New-SmbGlobalMapping                               Function SmbShare                                
New-SmbMapping                                     Function SmbShare                                
New-SmbMultichannelConstraint                      Function SmbShare                                
New-SmbServerAlternativePort                       Function SmbShare                                
New-SmbServerCertificateMapping                    Function SmbShare                                
New-SmbShare                                       Function SmbShare                                
New-StorageBusBinding                              Function StorageBusCache                         
New-StorageBusCacheStore                           Function StorageBusCache                         
New-StorageFileServer                              Function Storage                                 
New-StoragePool                                    Function Storage                                 
New-StorageSubsystemVirtualDisk                    Function Storage                                 
New-StorageTier                                    Function Storage                                 
New-TemporaryFile                                  Function Microsoft.PowerShell.Utility            
New-TimeSpan                                         Cmdlet Microsoft.PowerShell.Utility            
New-TlsSessionTicketKey                              Cmdlet TLS                                     
New-Variable                                         Cmdlet Microsoft.PowerShell.Utility            
New-VirtualDisk                                    Function Storage                                 
New-VirtualDiskClone                               Function Storage                                 
New-VirtualDiskSnapshot                            Function Storage                                 
New-Volume                                         Function Storage                                 
New-VpnServerAddress                               Function VpnClient                               
New-WebServiceProxy                                  Cmdlet Microsoft.PowerShell.Management         
New-WindowsCustomImage                               Cmdlet Dism                                    
New-WindowsImage                                     Cmdlet Dism                                    
New-WinEvent                                         Cmdlet Microsoft.PowerShell.Diagnostics        
New-WinUserLanguageList                              Cmdlet International                           
New-WSManInstance                                    Cmdlet Microsoft.WSMan.Management              
New-WSManSessionOption                               Cmdlet Microsoft.WSMan.Management              
O:                                                 Function                                         
Open-NetGPO                                        Function NetSecurity                             
Optimize-AppProvisionedPackages                       Alias Dism                                    
Optimize-AppxProvisionedPackages                     Cmdlet Dism                                    
Optimize-ProvisionedAppPackages                       Alias Dism                                    
Optimize-ProvisionedAppxPackages                      Alias Dism                                    
Optimize-StoragePool                               Function Storage                                 
Optimize-Volume                                    Function Storage                                 
Optimize-WindowsImage                                Cmdlet Dism                                    
oss                                                Function                                         
Out-Default                                          Cmdlet Microsoft.PowerShell.Core               
Out-File                                             Cmdlet Microsoft.PowerShell.Utility            
Out-GridView                                         Cmdlet Microsoft.PowerShell.Utility            
Out-Host                                             Cmdlet Microsoft.PowerShell.Core               
Out-Null                                             Cmdlet Microsoft.PowerShell.Core               
Out-Printer                                          Cmdlet Microsoft.PowerShell.Utility            
Out-String                                           Cmdlet Microsoft.PowerShell.Utility            
P:                                                 Function                                         
Pause                                              Function                                         
Pop-Location                                         Cmdlet Microsoft.PowerShell.Management         
prompt                                             Function                                         
Protect-CmsMessage                                   Cmdlet Microsoft.PowerShell.Security           
PSConsoleHostReadLine                              Function PSReadLine                              
Publish-AppvClientPackage                            Cmdlet AppvClient                              
Publish-BCFileContent                              Function BranchCache                             
Publish-BCWebContent                               Function BranchCache                             
Publish-DscConfiguration                             Cmdlet PSDesiredStateConfiguration             
Publish-Module                                     Function PowerShellGet                           
Publish-Script                                     Function PowerShellGet                           
Push-Location                                        Cmdlet Microsoft.PowerShell.Management         
Q:                                                 Function                                         
R:                                                 Function                                         
Read-Host                                            Cmdlet Microsoft.PowerShell.Utility            
Read-PrinterNfcTag                                 Function PrintManagement                         
Receive-DtcDiagnosticTransaction                     Cmdlet MsDtc                                   
Receive-Job                                          Cmdlet Microsoft.PowerShell.Core               
Receive-PSSession                                    Cmdlet Microsoft.PowerShell.Core               
Register-ArgumentCompleter                           Cmdlet Microsoft.PowerShell.Core               
Register-CimIndicationEvent                          Cmdlet CimCmdlets                              
Register-ClusteredScheduledTask                    Function ScheduledTasks                          
Register-DnsClient                                 Function DnsClient                               
Register-EngineEvent                                 Cmdlet Microsoft.PowerShell.Utility            
Register-IscsiSession                              Function iSCSI                                   
Register-ObjectEvent                                 Cmdlet Microsoft.PowerShell.Utility            
Register-PackageSource                               Cmdlet PackageManagement                       
Register-PSRepository                              Function PowerShellGet                           
Register-PSSessionConfiguration                      Cmdlet Microsoft.PowerShell.Core               
Register-RecoveryManagementPlugin                    Cmdlet Dism                                    
Register-ScheduledJob                                Cmdlet PSScheduledJob                          
Register-ScheduledTask                             Function ScheduledTasks                          
Register-StorageSubsystem                          Function Storage                                 
Register-UevTemplate                                 Cmdlet UEV                                     
Register-WmiEvent                                    Cmdlet Microsoft.PowerShell.Management         
Remove-AppPackage                                     Alias Appx                                    
Remove-AppPackageAutoUpdateSettings                   Alias Appx                                    
Remove-AppPackageVolume                               Alias Appx                                    
Remove-AppProvisionedPackage                          Alias Dism                                    
Remove-AppProvisionedSharedPackageContainer          Cmdlet Dism                                    
Remove-AppSharedPackageContainer                     Cmdlet Appx                                    
Remove-AppvClientConnectionGroup                     Cmdlet AppvClient                              
Remove-AppvClientPackage                             Cmdlet AppvClient                              
Remove-AppvPublishingServer                          Cmdlet AppvClient                              
Remove-AppxPackage                                   Cmdlet Appx                                    
Remove-AppxPackageAutoUpdateSettings                 Cmdlet Appx                                    
Remove-AppxProvisionedPackage                        Cmdlet Dism                                    
Remove-AppxVolume                                    Cmdlet Appx                                    
Remove-AutologgerConfig                            Function EventTracingManagement                  
Remove-BCDataCacheExtension                        Function BranchCache                             
Remove-BcdElement                                    Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Remove-BcdEntry                                      Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Remove-BitLockerKeyProtector                       Function BitLocker                               
Remove-BitsTransfer                                  Cmdlet BitsTransfer                            
Remove-CertificateEnrollmentPolicyServer             Cmdlet PKI                                     
Remove-CertificateNotificationTask                   Cmdlet PKI                                     
Remove-CimInstance                                   Cmdlet CimCmdlets                              
Remove-CimSession                                    Cmdlet CimCmdlets                              
Remove-CIPolicyRule                                  Cmdlet ConfigCI                                
Remove-Computer                                      Cmdlet Microsoft.PowerShell.Management         
Remove-DAEntryPointTableItem                       Function DirectAccessClientComponents            
Remove-DnsClientDohServerAddress                   Function DnsClient                               
Remove-DnsClientNrptRule                           Function DnsClient                               
Remove-DscConfigurationDocument                    Function PSDesiredStateConfiguration             
Remove-DtcClusterTMMapping                         Function MsDtc                                   
Remove-EtwTraceProvider                            Function EventTracingManagement                  
Remove-EtwTraceSession                                Alias EventTracingManagement                  
Remove-Event                                         Cmdlet Microsoft.PowerShell.Utility            
Remove-EventLog                                      Cmdlet Microsoft.PowerShell.Management         
Remove-FileShare                                   Function Storage                                 
Remove-HnsEndpoint                                 Function HostNetworkingService                   
Remove-HnsNamespace                                Function HostNetworkingService                   
Remove-HnsNetwork                                  Function HostNetworkingService                   
Remove-HnsPolicyList                               Function HostNetworkingService                   
Remove-InitiatorId                                 Function Storage                                 
Remove-InitiatorIdFromMaskingSet                   Function Storage                                 
Remove-IscsiTargetPortal                           Function iSCSI                                   
Remove-Item                                          Cmdlet Microsoft.PowerShell.Management         
Remove-ItemProperty                                  Cmdlet Microsoft.PowerShell.Management         
Remove-Job                                           Cmdlet Microsoft.PowerShell.Core               
Remove-JobTrigger                                    Cmdlet PSScheduledJob                          
Remove-LocalGroup                                    Cmdlet Microsoft.PowerShell.LocalAccounts      
Remove-LocalGroupMember                              Cmdlet Microsoft.PowerShell.LocalAccounts      
Remove-LocalUser                                     Cmdlet Microsoft.PowerShell.LocalAccounts      
Remove-MaskingSet                                  Function Storage                                 
Remove-Module                                        Cmdlet Microsoft.PowerShell.Core               
Remove-MpBehavioralNetworkBlockingRules            Function Defender                                
Remove-MpBehavioralNetworkBlockingRules            Function ConfigDefender                          
Remove-MpPreference                                Function Defender                                
Remove-MpPreference                                Function ConfigDefender                          
Remove-MpThreat                                    Function Defender                                
Remove-MpThreat                                    Function ConfigDefender                          
Remove-MsixPackage                                    Alias Appx                                    
Remove-MsixPackageAutoUpdateSettings                  Alias Appx                                    
Remove-MsixPackageVolume                              Alias Appx                                    
Remove-MsixVolume                                     Alias Appx                                    
Remove-NetAdapterAdvancedProperty                  Function NetAdapter                              
Remove-NetEventNetworkAdapter                      Function NetEventPacketCapture                   
Remove-NetEventPacketCaptureProvider               Function NetEventPacketCapture                   
Remove-NetEventProvider                            Function NetEventPacketCapture                   
Remove-NetEventSession                             Function NetEventPacketCapture                   
Remove-NetEventVFPProvider                         Function NetEventPacketCapture                   
Remove-NetEventVmNetworkAdapter                    Function NetEventPacketCapture                   
Remove-NetEventVmSwitch                            Function NetEventPacketCapture                   
Remove-NetEventVmSwitchProvider                    Function NetEventPacketCapture                   
Remove-NetEventWFPCaptureProvider                  Function NetEventPacketCapture                   
Remove-NetFirewallDynamicKeywordAddress            Function NetSecurity                             
Remove-NetFirewallHyperVProfile                    Function NetSecurity                             
Remove-NetFirewallHyperVRule                       Function NetSecurity                             
Remove-NetFirewallHyperVVMSetting                  Function NetSecurity                             
Remove-NetFirewallRule                             Function NetSecurity                             
Remove-NetIPAddress                                Function NetTCPIP                                
Remove-NetIPHttpsCertBinding                       Function NetworkTransition                       
Remove-NetIPHttpsConfiguration                     Function NetworkTransition                       
Remove-NetIPsecDospSetting                         Function NetSecurity                             
Remove-NetIPsecMainModeCryptoSet                   Function NetSecurity                             
Remove-NetIPsecMainModeRule                        Function NetSecurity                             
Remove-NetIPsecMainModeSA                          Function NetSecurity                             
Remove-NetIPsecPhase1AuthSet                       Function NetSecurity                             
Remove-NetIPsecPhase2AuthSet                       Function NetSecurity                             
Remove-NetIPsecQuickModeCryptoSet                  Function NetSecurity                             
Remove-NetIPsecQuickModeSA                         Function NetSecurity                             
Remove-NetIPsecRule                                Function NetSecurity                             
Remove-NetLbfoTeam                                 Function NetLbfo                                 
Remove-NetLbfoTeamMember                           Function NetLbfo                                 
Remove-NetLbfoTeamNic                              Function NetLbfo                                 
Remove-NetNat                                      Function NetNat                                  
Remove-NetNatExternalAddress                       Function NetNat                                  
Remove-NetNatStaticMapping                         Function NetNat                                  
Remove-NetNatTransitionConfiguration               Function NetworkTransition                       
Remove-NetNeighbor                                 Function NetTCPIP                                
Remove-NetQosPolicy                                Function NetQos                                  
Remove-NetRoute                                    Function NetTCPIP                                
Remove-NetSwitchTeam                               Function NetSwitchTeam                           
Remove-NetSwitchTeamMember                         Function NetSwitchTeam                           
Remove-NetTransportFilter                          Function NetTCPIP                                
Remove-NetworkSwitchEthernetPortIPAddress          Function NetworkSwitchManager                    
Remove-NetworkSwitchVlan                           Function NetworkSwitchManager                    
Remove-OdbcDsn                                     Function Wdac                                    
Remove-OsConfigurationDocument                       Cmdlet OsConfiguration                         
Remove-OSConfigurationScenarioDefinition             Cmdlet OsConfiguration                         
Remove-Partition                                   Function Storage                                 
Remove-PartitionAccessPath                         Function Storage                                 
Remove-PhysicalDisk                                Function Storage                                 
Remove-PmemDedicatedMemory                           Cmdlet PersistentMemory                        
Remove-PmemDisk                                      Cmdlet PersistentMemory                        
Remove-Printer                                     Function PrintManagement                         
Remove-PrinterDriver                               Function PrintManagement                         
Remove-PrinterPort                                 Function PrintManagement                         
Remove-PrintJob                                    Function PrintManagement                         
Remove-ProvisionedAppPackage                          Alias Dism                                    
Remove-ProvisionedAppSharedPackageContainer           Alias Dism                                    
Remove-ProvisionedAppxPackage                         Alias Dism                                    
Remove-ProvisioningPackage                            Alias Provisioning                            
Remove-PSBreakpoint                                  Cmdlet Microsoft.PowerShell.Utility            
Remove-PSDrive                                       Cmdlet Microsoft.PowerShell.Management         
Remove-PSReadLineKeyHandler                          Cmdlet PSReadLine                              
Remove-PSSession                                     Cmdlet Microsoft.PowerShell.Core               
Remove-PSSnapin                                      Cmdlet Microsoft.PowerShell.Core               
Remove-RecoveryManagementPluginAltitude              Cmdlet Dism                                    
Remove-SmbBandwidthLimit                           Function SmbShare                                
Remove-SmbClientCertificateMapping                 Function SmbShare                                
Remove-SMBComponent                                Function SmbShare                                
Remove-SmbGlobalMapping                            Function SmbShare                                
Remove-SmbMapping                                  Function SmbShare                                
Remove-SmbMultichannelConstraint                   Function SmbShare                                
Remove-SmbServerAlternativePort                    Function SmbShare                                
Remove-SmbServerCertificateMapping                 Function SmbShare                                
Remove-SmbShare                                    Function SmbShare                                
Remove-StorageBusBinding                           Function StorageBusCache                         
Remove-StorageFaultDomain                          Function Storage                                 
Remove-StorageFileServer                           Function Storage                                 
Remove-StorageHealthIntent                         Function Storage                                 
Remove-StorageHealthSetting                        Function Storage                                 
Remove-StoragePool                                 Function Storage                                 
Remove-StorageTier                                 Function Storage                                 
Remove-TargetPortFromMaskingSet                    Function Storage                                 
Remove-TrustedProvisioningCertificate                 Alias Provisioning                            
Remove-TypeData                                      Cmdlet Microsoft.PowerShell.Utility            
Remove-Variable                                      Cmdlet Microsoft.PowerShell.Utility            
Remove-VirtualDisk                                 Function Storage                                 
Remove-VirtualDiskFromMaskingSet                   Function Storage                                 
Remove-VMDirectVirtualDisk                         Function VMDirectStorage                         
Remove-VpnConnection                               Function VpnClient                               
Remove-VpnConnectionRoute                          Function VpnClient                               
Remove-VpnConnectionTriggerApplication             Function VpnClient                               
Remove-VpnConnectionTriggerDnsConfiguration        Function VpnClient                               
Remove-VpnConnectionTriggerTrustedNetwork          Function VpnClient                               
Remove-WindowsCapability                             Cmdlet Dism                                    
Remove-WindowsDriver                                 Cmdlet Dism                                    
Remove-WindowsImage                                  Cmdlet Dism                                    
Remove-WindowsPackage                                Cmdlet Dism                                    
Remove-WindowsUpdate                                 Cmdlet PSWindowsUpdate                         
Remove-WmiObject                                     Cmdlet Microsoft.PowerShell.Management         
Remove-WSManInstance                                 Cmdlet Microsoft.WSMan.Management              
Remove-WUServiceManager                              Cmdlet PSWindowsUpdate                         
Rename-Computer                                      Cmdlet Microsoft.PowerShell.Management         
Rename-DAEntryPointTableItem                       Function DirectAccessClientComponents            
Rename-Item                                          Cmdlet Microsoft.PowerShell.Management         
Rename-ItemProperty                                  Cmdlet Microsoft.PowerShell.Management         
Rename-LocalGroup                                    Cmdlet Microsoft.PowerShell.LocalAccounts      
Rename-LocalUser                                     Cmdlet Microsoft.PowerShell.LocalAccounts      
Rename-MaskingSet                                  Function Storage                                 
Rename-NetAdapter                                  Function NetAdapter                              
Rename-NetFirewallHyperVRule                       Function NetSecurity                             
Rename-NetFirewallRule                             Function NetSecurity                             
Rename-NetIPHttpsConfiguration                     Function NetworkTransition                       
Rename-NetIPsecMainModeCryptoSet                   Function NetSecurity                             
Rename-NetIPsecMainModeRule                        Function NetSecurity                             
Rename-NetIPsecPhase1AuthSet                       Function NetSecurity                             
Rename-NetIPsecPhase2AuthSet                       Function NetSecurity                             
Rename-NetIPsecQuickModeCryptoSet                  Function NetSecurity                             
Rename-NetIPsecRule                                Function NetSecurity                             
Rename-NetLbfoTeam                                 Function NetLbfo                                 
Rename-NetSwitchTeam                               Function NetSwitchTeam                           
Rename-Printer                                     Function PrintManagement                         
Repair-AppvClientConnectionGroup                     Cmdlet AppvClient                              
Repair-AppvClientPackage                             Cmdlet AppvClient                              
Repair-FileIntegrity                               Function Storage                                 
Repair-UevTemplateIndex                              Cmdlet UEV                                     
Repair-VirtualDisk                                 Function Storage                                 
Repair-Volume                                      Function Storage                                 
Repair-WindowsImage                                  Cmdlet Dism                                    
Reset-AppPackage                                      Alias Appx                                    
Reset-AppSharedPackageContainer                      Cmdlet Appx                                    
Reset-AppxPackage                                    Cmdlet Appx                                    
Reset-BC                                           Function BranchCache                             
Reset-ComputerMachinePassword                        Cmdlet Microsoft.PowerShell.Management         
Reset-DAClientExperienceConfiguration              Function DirectAccessClientComponents            
Reset-DAEntryPointTableItem                        Function DirectAccessClientComponents            
Reset-DtcLog                                       Function MsDtc                                   
Reset-LapsPassword                                   Cmdlet LAPS                                    
Reset-MsixPackage                                     Alias Appx                                    
Reset-NCSIPolicyConfiguration                      Function NetworkConnectivityStatus               
Reset-Net6to4Configuration                         Function NetworkTransition                       
Reset-NetAdapterAdvancedProperty                   Function NetAdapter                              
Reset-NetDnsTransitionConfiguration                Function NetworkTransition                       
Reset-NetIPHttpsConfiguration                      Function NetworkTransition                       
Reset-NetIsatapConfiguration                       Function NetworkTransition                       
Reset-NetTeredoConfiguration                       Function NetworkTransition                       
Reset-PhysicalDisk                                 Function Storage                                 
Reset-SmbClientConfiguration                       Function SmbShare                                
Reset-SmbServerConfiguration                       Function SmbShare                                
Reset-StorageReliabilityCounter                    Function Storage                                 
Reset-WinhttpProxy                                 Function WinHttpProxy                            
Reset-WUComponents                                   Cmdlet PSWindowsUpdate                         
